mask_rate,alpaca_ASR,base_ASR,pure_bad_ASR,aoa_ASR
0,0.3403846,0.009615385,0.028846154,0.0038461538
0.1,0.32307693,0.005769231,0.06538462,0.005769231
0.2,0.26346153,0.005769231,0.042307694,0.017307693
0.3,0.36923078,0.005769231,0.005769231,0.0019230769
0.4,0.30192307,0.011538462,0.009615385,0.0019230769
0.5,0.18653846,0.0076923077,0.01923077,0.0019230769
0.6,0.30576923,0.0038461538,0.08269231,0.0019230769
0.7,0.3326923,0.0038461538,0.13461539,0.0038461538
0.8,0.19615385,0.005769231,0.08846154,0.0019230769
0.9,0.22692308,0.005769231,0.005769231,0.0019230769
1,0.051923078,0.0019230769,0.011538462,0
