mask_rate,sparse_non_safe_alpaca_ASR,sparse_non_safe_alpaca_ASR_std,dare_alpaca_ASR,dare_alpaca_ASR_std
0,0.304,0.04363485,0.304,0.04363485
0.1,0.34399998,0.056603886,0.341,0.05838664
0.2,0.31800002,0.09239048,0.305,0.0935147
0.3,0.348,0.051923018,0.321,0.059236813
0.4,0.361,0.046572525,0.313,0.049000002
0.5,0.38099998,0.02808914,0.309,0.04805205
0.6,0.407,0.036345568,0.33499998,0.05920304
0.7,0.453,0.0781089,0.275,0.07684399
0.8,0.50699997,0.089894384,0.29899997,0.07942921
0.9,0.752,0.08919643,0.258,0.08806816
0.9,0.742,0.11496088,0.274,0.07644606
0.911,0.805,0.06682065,0.264,0.05713143
0.922,0.86899996,0.07272551,0.25599998,0.07227724
0.933,0.842,0.107405774,0.27199998,0.052497618
0.944,0.86499995,0.046957422,0.24700002,0.06325346
0.956,0.80799997,0.033704612,0.25200003,0.06982836
0.967,0.725,0.10365808,0.19800001,0.05192302
0.978,0.257,0.09839208,0.292,0.073864736
0.989,0.0009999999,0.0029999998,0.33499998,0.2754723
1,0.044,0.009165152,0.056,0.009165151
